threads,problem_size,scaling,repeat,time
9,100000,weak,8,0.003280
10,100000,strong,8,0.000369
10,100000,weak,8,0.003292
11,100000,strong,8,0.000348
11,100000,weak,8,0.003397
12,100000,strong,8,0.000325
12,100000,weak,8,0.003437
1,100000,strong,9,0.003280
1,100000,weak,9,0.003274
2,100000,strong,9,0.001671
2,100000,weak,9,0.003276
3,100000,strong,9,0.001117
3,100000,weak,9,0.003584
4,100000,strong,9,0.000875
4,100000,weak,9,0.004431
5,100000,strong,9,0.000732
5,100000,weak,9,0.003346
6,100000,strong,9,0.000685
6,100000,weak,9,0.003351
7,100000,strong,9,0.000514
7,100000,weak,9,0.003303
8,100000,strong,9,0.000439
8,100000,weak,9,0.003315
9,100000,strong,9,0.000406
9,100000,weak,9,0.003388
10,100000,strong,9,0.000369
10,100000,weak,9,0.003287
11,100000,strong,9,0.000338
11,100000,weak,9,0.003285
12,100000,strong,9,0.000326
12,100000,weak,9,0.003292
1,100000,strong,10,0.003302
1,100000,weak,10,0.003270
2,100000,strong,10,0.001975
2,100000,weak,10,0.003530
3,100000,strong,10,0.001132
3,100000,weak,10,0.003390
4,100000,strong,10,0.001120
4,100000,weak,10,0.001326
5,100000,strong,10,0.000716
5,100000,weak,10,0.003342
6,100000,strong,10,0.000595
6,100000,weak,10,0.003288
7,100000,strong,10,0.000520
7,100000,weak,10,0.003294
8,100000,strong,10,0.000447
8,100000,weak,10,0.003278
9,100000,strong,10,0.000400
9,100000,weak,10,0.003285
10,100000,strong,10,0.000379
10,100000,weak,10,0.003276
11,100000,strong,10,0.000338
11,100000,weak,10,0.003295
12,100000,strong,10,0.000346
12,100000,weak,10,0.003302
1,10000000,strong,1,0.325758
1,10000000,weak,1,0.325737
2,10000000,strong,1,0.162622
2,10000000,weak,1,0.325610
3,10000000,strong,1,0.112348
3,10000000,weak,1,0.325082
4,10000000,strong,1,0.081434
4,10000000,weak,1,0.333172
5,10000000,strong,1,0.065169
5,10000000,weak,1,0.325355
6,10000000,strong,1,0.054344
6,10000000,weak,1,0.325368
7,10000000,strong,1,0.046588
7,10000000,weak,1,0.325195
8,10000000,strong,1,0.040768
9,10000000,strong,1,0.036423
8,10000000,weak,1,0.325377
10,10000000,strong,1,0.032829
9,10000000,weak,1,0.325412
11,10000000,strong,1,0.030512
10,10000000,weak,1,0.325324
12,10000000,strong,1,0.027481
11,10000000,weak,1,0.325309
1,10000000,strong,2,0.325558
12,10000000,weak,1,0.337058
2,10000000,strong,2,0.162515
1,10000000,weak,2,0.325250
3,10000000,strong,2,0.112322
2,10000000,weak,2,0.333270
4,10000000,strong,2,0.085372
5,10000000,strong,2,0.065126
3,10000000,weak,2,0.325308
6,10000000,strong,2,0.054278
4,10000000,weak,2,0.325576
7,10000000,strong,2,0.046685
5,10000000,weak,2,0.325251
8,10000000,strong,2,0.040777
6,10000000,weak,2,0.325275
9,10000000,strong,2,0.036305
7,10000000,weak,2,0.325208
10,10000000,strong,2,0.033791
8,10000000,weak,2,0.325153
11,10000000,strong,2,0.029780
9,10000000,weak,2,0.325252
12,10000000,strong,2,0.027641
1,10000000,strong,3,0.325674
10,10000000,weak,2,0.325438
2,10000000,strong,3,0.168144
11,10000000,weak,2,0.336992
3,10000000,strong,3,0.108365
12,10000000,weak,2,0.325524
4,10000000,strong,3,0.081315
1,10000000,weak,3,0.337168
5,10000000,strong,3,0.065178
2,10000000,weak,3,0.325070
6,10000000,strong,3,0.054290
3,10000000,weak,3,0.325597
7,10000000,strong,3,0.046533
8,10000000,strong,3,0.040851
4,10000000,weak,3,0.325349
9,10000000,strong,3,0.037492
5,10000000,weak,3,0.325116
10,10000000,strong,3,0.032781
6,10000000,weak,3,0.325130
11,10000000,strong,3,0.029737
7,10000000,weak,3,0.325429
12,10000000,strong,3,0.028152
8,10000000,weak,3,0.336955
1,10000000,strong,4,0.325673
9,10000000,weak,3,0.336921
