threads,problem_size,scaling,repeat,time
9,1000,weak,8,0.000068
10,1000,strong,8,0.000048
10,1000,weak,8,0.000081
11,1000,strong,8,0.000048
11,1000,weak,8,0.000081
12,1000,strong,8,0.000108
12,1000,weak,8,0.000075
1,1000,strong,9,0.000056
1,1000,weak,9,0.000049
2,1000,strong,9,0.008628
2,1000,weak,9,0.000392
3,1000,strong,9,0.000043
3,1000,weak,9,0.000077
4,1000,strong,9,0.000936
4,1000,weak,9,0.000113
5,1000,strong,9,0.000061
5,1000,weak,9,0.000080
6,1000,strong,9,0.000052
6,1000,weak,9,0.000078
7,1000,strong,9,0.000044
7,1000,weak,9,0.000082
8,1000,strong,9,0.000050
8,1000,weak,9,0.000073
9,1000,strong,9,0.000056
9,1000,weak,9,0.000069
10,1000,strong,9,0.000061
10,1000,weak,9,0.000084
11,1000,strong,9,0.000063
11,1000,weak,9,0.000078
12,1000,strong,9,0.000066
12,1000,weak,9,0.000080
1,1000,strong,10,0.000067
1,1000,weak,10,0.000053
2,1000,strong,10,0.008123
2,1000,weak,10,0.000929
3,1000,strong,10,0.000049
3,1000,weak,10,0.000069
4,1000,strong,10,0.008312
4,1000,weak,10,0.008438
5,1000,strong,10,0.000062
5,1000,weak,10,0.000073
6,1000,strong,10,0.000047
6,1000,weak,10,0.000076
7,1000,strong,10,0.000047
7,1000,weak,10,0.000078
8,1000,strong,10,0.000054
8,1000,weak,10,0.000063
9,1000,strong,10,0.000058
9,1000,weak,10,0.000067
10,1000,strong,10,0.000054
10,1000,weak,10,0.000066
11,1000,strong,10,0.000049
11,1000,weak,10,0.000079
12,1000,strong,10,0.000052
12,1000,weak,10,0.000083
1,31623,strong,1,0.001053
1,31623,weak,1,0.001046
2,31623,strong,1,0.000562
2,31623,weak,1,0.009191
3,31623,strong,1,0.000379
3,31623,weak,1,0.001065
4,31623,strong,1,0.000344
4,31623,weak,1,0.009790
5,31623,strong,1,0.000240
5,31623,weak,1,0.001088
6,31623,strong,1,0.000210
6,31623,weak,1,0.001079
7,31623,strong,1,0.000197
7,31623,weak,1,0.001119
8,31623,strong,1,0.000172
8,31623,weak,1,0.001066
9,31623,strong,1,0.000165
9,31623,weak,1,0.001125
10,31623,strong,1,0.000150
10,31623,weak,1,0.001071
11,31623,strong,1,0.000145
11,31623,weak,1,0.001074
12,31623,strong,1,0.000143
12,31623,weak,1,0.001065
1,31623,strong,2,0.001052
1,31623,weak,2,0.001046
2,31623,strong,2,0.000561
2,31623,weak,2,0.001056
3,31623,strong,2,0.000385
3,31623,weak,2,0.001060
4,31623,strong,2,0.000364
4,31623,weak,2,0.001063
5,31623,strong,2,0.000245
5,31623,weak,2,0.001086
6,31623,strong,2,0.000210
6,31623,weak,2,0.001081
7,31623,strong,2,0.000191
7,31623,weak,2,0.001080
8,31623,strong,2,0.000178
8,31623,weak,2,0.001066
9,31623,strong,2,0.000173
9,31623,weak,2,0.001064
10,31623,strong,2,0.000153
10,31623,weak,2,0.001064
11,31623,strong,2,0.000161
11,31623,weak,2,0.001069
12,31623,strong,2,0.000144
12,31623,weak,2,0.001062
1,31623,strong,3,0.001054
1,31623,weak,3,0.001046
2,31623,strong,3,0.000574
2,31623,weak,3,0.001333
3,31623,strong,3,0.000654
3,31623,weak,3,0.001064
4,31623,strong,3,0.000303
4,31623,weak,3,0.001099
5,31623,strong,3,0.000285
5,31623,weak,3,0.001107
6,31623,strong,3,0.000216
6,31623,weak,3,0.001073
7,31623,strong,3,0.000191
7,31623,weak,3,0.001072
8,31623,strong,3,0.000167
8,31623,weak,3,0.001066
9,31623,strong,3,0.000156
9,31623,weak,3,0.001067
10,31623,strong,3,0.000144
10,31623,weak,3,0.001073
11,31623,strong,3,0.000140
11,31623,weak,3,0.001090
12,31623,strong,3,0.000138
12,31623,weak,3,0.001071
1,31623,strong,4,0.001050
1,31623,weak,4,0.001047
2,31623,strong,4,0.000545
2,31623,weak,4,0.001343
3,31623,strong,4,0.000376
3,31623,weak,4,0.001293
4,31623,strong,4,0.000293
4,31623,weak,4,0.001070
5,31623,strong,4,0.000240
5,31623,weak,4,0.001076
6,31623,strong,4,0.000215
6,31623,weak,4,0.001077
7,31623,strong,4,0.000196
7,31623,weak,4,0.001080
8,31623,strong,4,0.000170
8,31623,weak,4,0.001071
9,31623,strong,4,0.000167
9,31623,weak,4,0.001103
10,31623,strong,4,0.000156
10,31623,weak,4,0.001083
11,31623,strong,4,0.000161
11,31623,weak,4,0.001072
12,31623,strong,4,0.000156
12,31623,weak,4,0.001067
1,31623,strong,5,0.001057
1,31623,weak,5,0.001050
2,31623,strong,5,0.000558
2,31623,weak,5,0.001356
3,31623,strong,5,0.000382
3,31623,weak,5,0.001077
4,31623,strong,5,0.000297
4,31623,weak,5,0.001353
5,31623,strong,5,0.000254
5,31623,weak,5,0.001075
6,31623,strong,5,0.000211
6,31623,weak,5,0.001103
7,31623,strong,5,0.000196
7,31623,weak,5,0.001095
8,31623,strong,5,0.000171
8,31623,weak,5,0.001091
9,31623,strong,5,0.000170
9,31623,weak,5,0.001064
10,31623,strong,5,0.000166
10,31623,weak,5,0.001068
11,31623,strong,5,0.000178
11,31623,weak,5,0.001063
12,31623,strong,5,0.000152
12,31623,weak,5,0.001069
1,31623,strong,6,0.001035
1,31623,weak,6,0.001046
2,31623,strong,6,0.000574
2,31623,weak,6,0.001357
3,31623,strong,6,0.000384
3,31623,weak,6,0.001060
4,31623,strong,6,0.000342
4,31623,weak,6,0.001178
5,31623,strong,6,0.000242
5,31623,weak,6,0.001085
6,31623,strong,6,0.000221
6,31623,weak,6,0.001079
7,31623,strong,6,0.000217
7,31623,weak,6,0.001079
8,31623,strong,6,0.000181
8,31623,weak,6,0.001074
9,31623,strong,6,0.000154
9,31623,weak,6,0.001064
10,31623,strong,6,0.000161
10,31623,weak,6,0.001089
11,31623,strong,6,0.000152
11,31623,weak,6,0.001070
12,31623,strong,6,0.000150
12,31623,weak,6,0.001074
1,31623,strong,7,0.001064
1,31623,weak,7,0.001088
2,31623,strong,7,0.000574
2,31623,weak,7,0.008629
3,31623,strong,7,0.008571
3,31623,weak,7,0.001065
4,31623,strong,7,0.000676
4,31623,weak,7,0.009203
5,31623,strong,7,0.000262
5,31623,weak,7,0.001099
6,31623,strong,7,0.000210
6,31623,weak,7,0.001087
7,31623,strong,7,0.000202
7,31623,weak,7,0.001103
8,31623,strong,7,0.000173
8,31623,weak,7,0.001074
9,31623,strong,7,0.000168
9,31623,weak,7,0.001065
10,31623,strong,7,0.000164
10,31623,weak,7,0.001067
11,31623,strong,7,0.000166
11,31623,weak,7,0.001112
12,31623,strong,7,0.000218
12,31623,weak,7,0.001078
1,31623,strong,8,0.001055
1,31623,weak,8,0.001046
2,31623,strong,8,0.000987
2,31623,weak,8,0.001060
3,31623,strong,8,0.000629
3,31623,weak,8,0.001066
4,31623,strong,8,0.008327
4,31623,weak,8,0.001528
5,31623,strong,8,0.000245
5,31623,weak,8,0.001071
6,31623,strong,8,0.000220
6,31623,weak,8,0.001075
7,31623,strong,8,0.000193
7,31623,weak,8,0.001127
8,31623,strong,8,0.000178
8,31623,weak,8,0.001096
9,31623,strong,8,0.000159
9,31623,weak,8,0.001062
10,31623,strong,8,0.000157
10,31623,weak,8,0.001078
11,31623,strong,8,0.000149
11,31623,weak,8,0.001075
12,31623,strong,8,0.000135
12,31623,weak,8,0.001083
1,31623,strong,9,0.001049
1,31623,weak,9,0.001047
2,31623,strong,9,0.000550
2,31623,weak,9,0.001385
3,31623,strong,9,0.000375
3,31623,weak,9,0.001067
4,31623,strong,9,0.000653
4,31623,weak,9,0.001114
5,31623,strong,9,0.000245
5,31623,weak,9,0.001075
6,31623,strong,9,0.000220
6,31623,weak,9,0.001083
7,31623,strong,9,0.000190
7,31623,weak,9,0.001079
8,31623,strong,9,0.000171
8,31623,weak,9,0.001059
9,31623,strong,9,0.000178
9,31623,weak,9,0.001072
10,31623,strong,9,0.000164
10,31623,weak,9,0.001069
11,31623,strong,9,0.000148
11,31623,weak,9,0.001072
12,31623,strong,9,0.000144
12,31623,weak,9,0.001067
1,31623,strong,10,0.001060
1,31623,weak,10,0.001053
2,31623,strong,10,0.000560
2,31623,weak,10,0.009371
3,31623,strong,10,0.008248
3,31623,weak,10,0.001062
4,31623,strong,10,0.002416
4,31623,weak,10,0.001379
5,31623,strong,10,0.000253
5,31623,weak,10,0.001067
6,31623,weak,10,0.001067
6,31623,strong,10,0.000261
7,31623,weak,10,0.001086
7,31623,strong,10,0.000192
8,31623,weak,10,0.001074
8,31623,strong,10,0.000171
9,31623,weak,10,0.001067
9,31623,strong,10,0.000192
10,31623,strong,10,0.000155
10,31623,weak,10,0.001082
11,31623,strong,10,0.000146
11,31623,weak,10,0.001074
12,31623,weak,10,0.001131
12,31623,strong,10,0.000137
1,1000000,strong,1,0.033234
1,1000000,weak,1,0.033252
2,1000000,strong,1,0.024791
2,1000000,weak,1,0.032780
3,1000000,strong,1,0.010868
3,1000000,weak,1,0.032519
4,1000000,strong,1,0.016808
4,1000000,weak,1,0.032774
5,1000000,strong,1,0.006566
5,1000000,weak,1,0.033734
6,1000000,strong,1,0.005492
6,1000000,weak,1,0.032574
7,1000000,strong,1,0.004849
7,1000000,weak,1,0.032552
8,1000000,strong,1,0.004136
8,1000000,weak,1,0.032595
9,1000000,strong,1,0.003659
9,1000000,weak,1,0.032552
10,1000000,strong,1,0.003295
10,1000000,weak,1,0.032556
11,1000000,strong,1,0.003003
11,1000000,weak,1,0.032545
12,1000000,strong,1,0.002785
12,1000000,weak,1,0.032556
1,1000000,strong,2,0.033362
1,1000000,weak,2,0.032626
2,1000000,strong,2,0.016995
2,1000000,weak,2,0.040705
3,1000000,strong,2,0.018414
3,1000000,weak,2,0.032521
4,1000000,strong,2,0.008703
4,1000000,weak,2,0.032525
5,1000000,strong,2,0.006631
5,1000000,weak,2,0.032626
6,1000000,strong,2,0.005505
6,1000000,weak,2,0.032580
7,1000000,strong,2,0.004847
7,1000000,weak,2,0.032589
8,1000000,strong,2,0.004169
8,1000000,weak,2,0.032577
9,1000000,strong,2,0.003777
9,1000000,weak,2,0.032537
10,1000000,strong,2,0.003318
10,1000000,weak,2,0.032543
11,1000000,strong,2,0.003020
11,1000000,weak,2,0.032559
12,1000000,strong,2,0.002787
12,1000000,weak,2,0.032554
1,1000000,strong,3,0.033470
1,1000000,weak,3,0.032623
2,1000000,strong,3,0.016299
2,1000000,weak,3,0.032745
3,1000000,strong,3,0.010887
3,1000000,weak,3,0.034785
4,1000000,strong,3,0.008755
4,1000000,weak,3,0.032546
5,1000000,strong,3,0.006806
5,1000000,weak,3,0.032576
6,1000000,strong,3,0.005468
6,1000000,weak,3,0.032583
7,1000000,strong,3,0.004701
7,1000000,weak,3,0.032573
8,1000000,strong,3,0.004244
8,1000000,weak,3,0.032576
9,1000000,strong,3,0.003792
9,1000000,weak,3,0.032548
10,1000000,strong,3,0.003391
10,1000000,weak,3,0.032542
11,1000000,strong,3,0.003004
11,1000000,weak,3,0.032551
12,1000000,strong,3,0.002766
12,1000000,weak,3,0.033713
1,1000000,strong,4,0.032529
1,1000000,weak,4,0.033470
2,1000000,strong,4,0.016301
2,1000000,weak,4,0.033070
3,1000000,strong,4,0.011341
3,1000000,weak,4,0.032524
4,1000000,strong,4,0.016367
4,1000000,weak,4,0.040555
5,1000000,strong,4,0.006592
5,1000000,weak,4,0.032575
6,1000000,strong,4,0.005599
6,1000000,weak,4,0.032567
7,1000000,strong,4,0.004721
7,1000000,weak,4,0.032598
8,1000000,strong,4,0.004117
8,1000000,weak,4,0.032552
9,1000000,strong,4,0.003706
9,1000000,weak,4,0.032579
10,1000000,strong,4,0.003313
10,1000000,weak,4,0.032566
11,1000000,strong,4,0.003175
11,1000000,weak,4,0.032563
12,1000000,strong,4,0.002768
12,1000000,weak,4,0.032587
1,1000000,strong,5,0.033344
1,1000000,weak,5,0.033056
2,1000000,strong,5,0.016293
2,1000000,weak,5,0.042314
3,1000000,strong,5,0.010896
3,1000000,weak,5,0.032521
4,1000000,strong,5,0.008417
4,1000000,weak,5,0.032716
5,1000000,strong,5,0.006589
5,1000000,weak,5,0.033760
6,1000000,strong,5,0.005495
6,1000000,weak,5,0.032562
7,1000000,strong,5,0.004856
7,1000000,weak,5,0.032602
8,1000000,strong,5,0.004148
8,1000000,weak,5,0.032581
9,1000000,strong,5,0.003697
9,1000000,weak,5,0.033707
10,1000000,strong,5,0.003322
10,1000000,weak,5,0.033734
11,1000000,strong,5,0.003086
11,1000000,weak,5,0.032545
12,1000000,strong,5,0.002780
1,1000000,strong,6,0.033524
12,1000000,weak,5,0.032561
2,1000000,strong,6,0.016464
1,1000000,weak,6,0.032712
3,1000000,strong,6,0.011147
2,1000000,weak,6,0.032516
4,1000000,strong,6,0.016231
3,1000000,weak,6,0.032522
5,1000000,strong,6,0.006621
4,1000000,weak,6,0.038740
6,1000000,strong,6,0.005518
5,1000000,weak,6,0.032596
7,1000000,strong,6,0.004893
6,1000000,weak,6,0.032553
8,1000000,strong,6,0.004263
7,1000000,weak,6,0.032571
9,1000000,strong,6,0.003661
8,1000000,weak,6,0.032570
10,1000000,strong,6,0.003298
9,1000000,weak,6,0.032538
11,1000000,strong,6,0.003010
10,1000000,weak,6,0.032530
12,1000000,strong,6,0.002797
11,1000000,weak,6,0.032527
1,1000000,strong,7,0.033525
12,1000000,weak,6,0.033723
2,1000000,strong,7,0.016323
1,1000000,weak,7,0.033404
3,1000000,strong,7,0.011310
2,1000000,weak,7,0.033181
4,1000000,strong,7,0.008215
3,1000000,weak,7,0.040495
5,1000000,strong,7,0.006598
4,1000000,weak,7,0.040729
6,1000000,strong,7,0.005554
5,1000000,weak,7,0.032574
7,1000000,strong,7,0.004864
6,1000000,weak,7,0.032558
8,1000000,strong,7,0.004149
7,1000000,weak,7,0.032581
9,1000000,strong,7,0.003691
8,1000000,weak,7,0.032552
10,1000000,strong,7,0.003370
9,1000000,weak,7,0.032534
11,1000000,strong,7,0.003029
