Size,Bandwidth,Delay
1.000000,14.748662,0.000517
2.000000,30.490198,
4.000000,61.763346,
8.000000,123.786488,
16.000000,246.408072,
32.000000,460.274469,
64.000000,930.041809,
128.000000,1806.074421,
256.000000,3244.458361,
512.000000,5576.127253,
1024.000000,9085.739141,
2048.000000,14945.216815,
4096.000000,21766.203809,
8192.000000,28041.580503,
16384.000000,31999.467529,
32768.000000,39322.569644,
65536.000000,59303.089075,
131072.000000,86875.070695,
262144.000000,98658.257563,
524288.000000,85928.292582,
1048576.000000,71029.292942,
2097152.000000,67308.943752,
4194304.000000,66055.538440,
8388608.000000,62728.374224,
16777216.000000,51075.066628,
33554432.000000,42607.854966,
67108864.000000,41285.449879,
134217728.000000,41306.768008,
